support,itemsets,length
0.05113636363636364,"frozenset({'whole milk', 'bottled beer'})",2
0.05475206611570248,"frozenset({'other vegetables', 'bottled water'})",2
0.04442148760330578,"frozenset({'rolls/buns', 'bottled water'})",2
0.04364669421487603,"frozenset({'soda', 'bottled water'})",2
0.06869834710743801,"frozenset({'whole milk', 'bottled water'})",2
0.04183884297520661,"frozenset({'whole milk', 'brown bread'})",2
0.04054752066115702,"frozenset({'whole milk', 'butter'})",2
0.05010330578512397,"frozenset({'canned beer', 'whole milk'})",2
0.04183884297520661,"frozenset({'other vegetables', 'citrus fruit'})",2
0.050878099173553716,"frozenset({'whole milk', 'citrus fruit'})",2
0.04132231404958678,"frozenset({'whole milk', 'domestic eggs'})",2
0.040805785123966945,"frozenset({'whole milk', 'newspapers'})",2
0.04003099173553719,"frozenset({'other vegetables', 'pastry'})",2
0.08083677685950413,"frozenset({'rolls/buns', 'other vegetables'})",2
0.055526859504132234,"frozenset({'root vegetables', 'other vegetables'})",2
0.05371900826446281,"frozenset({'other vegetables', 'sausage'})",2
0.04054752066115702,"frozenset({'other vegetables', 'shopping bags'})",2
0.07205578512396695,"frozenset({'other vegetables', 'soda'})",2
0.049586776859504134,"frozenset({'other vegetables', 'tropical fruit'})",2
0.11234504132231404,"frozenset({'other vegetables', 'whole milk'})",2
0.06611570247933884,"frozenset({'other vegetables', 'yogurt'})",2
0.05010330578512397,"frozenset({'whole milk', 'pastry'})",2
0.05036157024793388,"frozenset({'whole milk', 'pip fruit'})",2
0.051394628099173556,"frozenset({'root vegetables', 'rolls/buns'})",2
0.04674586776859504,"frozenset({'rolls/buns', 'sausage'})",2
0.040289256198347105,"frozenset({'rolls/buns', 'shopping bags'})",2
0.06947314049586777,"frozenset({'rolls/buns', 'soda'})",2
0.04700413223140496,"frozenset({'rolls/buns', 'tropical fruit'})",2
0.10614669421487603,"frozenset({'rolls/buns', 'whole milk'})",2
0.06353305785123967,"frozenset({'rolls/buns', 'yogurt'})",2
0.04054752066115702,"frozenset({'root vegetables', 'soda'})",2
0.06275826446280992,"frozenset({'root vegetables', 'whole milk'})",2
0.04183884297520661,"frozenset({'sausage', 'soda'})",2
0.060950413223140494,"frozenset({'whole milk', 'sausage'})",2
0.04106404958677686,"frozenset({'sausage', 'yogurt'})",2
0.04777892561983471,"frozenset({'whole milk', 'shopping bags'})",2
0.04209710743801653,"frozenset({'tropical fruit', 'soda'})",2
0.09039256198347108,"frozenset({'whole milk', 'soda'})",2
0.05630165289256198,"frozenset({'yogurt', 'soda'})",2
0.062241735537190084,"frozenset({'whole milk', 'tropical fruit'})",2
0.04881198347107438,"frozenset({'whole milk', 'whipped/sour cream'})",2
0.08729338842975207,"frozenset({'whole milk', 'yogurt'})",2
